break_id,account_id,break_text
BRKa0c4af07,B004001,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRK9c757307,B003448,Price variance over tolerance for MA; OMS 442.93 vs custodian 432.93.
BRK6c5bafcd,B004169,Price variance over tolerance for DIS; OMS 119.1 vs custodian 118.07.
BRKbb521904,B004251,Corporate action cash dividend missing for EEM; record date 2025-08-10.
BRKf381ff9a,B004192,Corporate action cash dividend missing for AMD; record date 2025-09-08.
BRKa09602d5,B003143,Duplicate booking suspected for MA; two fills with same timestamp.
BRKdc125b65,B003959,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRK624cbe75,B004004,Corporate action cash dividend missing for EEM; record date 2025-06-17.
BRK0179f465,B004062,Corporate action cash dividend missing for JNJ; record date 2025-08-06.
BRKd0840188,B003275,Instrument mapping issue: ISIN/SEDOL mismatch for LULU; refer static data.
BRK00e6342e,B004122,FX mismatch between custodian and OMS for PG on 2025-07-26; expected 914 got 50.
BRKdd2c747c,B004135,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRK0d9e1601,B004165,"Settlement fail on AMD; reason: SSI rejected, requires updated BIC/SWIFT."
BRKe545e04f,B004366,Corporate action cash dividend missing for ORCL; record date 2025-06-09.
BRKbd902d56,B003807,FX mismatch between custodian and OMS for SHEL on 2025-08-24; expected 216 got 22.
BRK7153cd14,B003618,"Trade not affirmed by counterparty; venue BATS, orderId 4aa52cc3, partial fill discrepancy."
BRK11e112e6,B003656,"Trade not affirmed by counterparty; venue NASDAQ, orderId 53d7398f, partial fill discrepancy."
BRKfd4c1894,B003430,"Trade not affirmed by counterparty; venue NASDAQ, orderId 4bf57b18, partial fill discrepancy."
BRK417abe78,B004316,Duplicate booking suspected for SQ; two fills with same timestamp.
BRK33101b18,B003620,Price variance over tolerance for PG; OMS 392.04 vs custodian 381.47.
BRKfa801d13,B003394,"Settlement fail on AMZN; reason: SSI rejected, requires updated BIC/SWIFT."
BRK55e392d3,B003851,"Settlement fail on T; reason: SSI rejected, requires updated BIC/SWIFT."
BRK6a9caa09,B003190,Corporate action cash dividend missing for SPY; record date 2025-08-10.
BRK47bc44d4,B004498,"Settlement fail on V; reason: SSI rejected, requires updated BIC/SWIFT."
BRKcdd387a8,B003839,Corporate action cash dividend missing for NKE; record date 2025-03-23.
BRKd6380590,B004379,"Trade not affirmed by counterparty; venue NYSE, orderId e7fc90c6, partial fill discrepancy."
BRK327fc725,B003265,FX mismatch between custodian and OMS for BP on 2025-07-24; expected 133 got 637.
BRK0b1eebf7,B003914,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRK5f09511c,B004275,FX mismatch between custodian and OMS for SLV on 2025-07-16; expected 310 got 590.
BRKabb79a92,B003883,"Settlement fail on NFLX; reason: SSI rejected, requires updated BIC/SWIFT."
BRKb59ccdf3,B003932,Price variance over tolerance for QQQ; OMS 339.72 vs custodian 351.73.
BRK947dd1c7,B003306,Corporate action cash dividend missing for BND; record date 2025-06-28.
BRKcd7d2bbe,B003046,Instrument mapping issue: ISIN/SEDOL mismatch for LULU; refer static data.
BRKe7b2c7d5,B003690,Duplicate booking suspected for AMAT; two fills with same timestamp.
BRK31396900,B003587,FX mismatch between custodian and OMS for NFLX on 2025-08-07; expected 870 got 847.
BRK4b525232,B003396,Duplicate booking suspected for EFA; two fills with same timestamp.
BRK5d38384d,B004341,Duplicate booking suspected for AAPL; two fills with same timestamp.
BRK1829d39a,B004016,"Trade not affirmed by counterparty; venue EUREX, orderId 0ff51fd4, partial fill discrepancy."
BRK8e7f8355,B003242,"Settlement fail on V; reason: SSI rejected, requires updated BIC/SWIFT."
BRK15bf7fef,B004125,Duplicate booking suspected for PEP; two fills with same timestamp.
BRK9ea3d92f,B003434,Price variance over tolerance for TXN; OMS 107.07 vs custodian 107.92.
BRKdf235473,B003052,FX mismatch between custodian and OMS for V on 2025-05-08; expected 442 got 131.
BRK2744d278,B004257,"Settlement fail on MA; reason: SSI rejected, requires updated BIC/SWIFT."
BRK494b1ac3,B003123,FX mismatch between custodian and OMS for MA on 2025-04-08; expected 463 got 741.
BRKc169f174,B003883,FX mismatch between custodian and OMS for CRM on 2025-04-10; expected 432 got 238.
BRK91f93e68,B003259,"Trade not affirmed by counterparty; venue LSE, orderId 9d21999c, partial fill discrepancy."
BRKbb4b1cf8,B003324,FX mismatch between custodian and OMS for MRK on 2025-03-17; expected 237 got 723.
BRKaa16eb4c,B003066,"Trade not affirmed by counterparty; venue LSE, orderId adb7bc17, partial fill discrepancy."
BRK7b22f520,B003830,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRKe1c7c439,B004275,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRK849fc378,B003761,Corporate action cash dividend missing for PFE; record date 2025-05-23.
BRKf3e022b0,B003982,Corporate action cash dividend missing for LLY; record date 2025-08-12.
BRK284f85ba,B003945,"Trade not affirmed by counterparty; venue NYSE, orderId a7edbc60, partial fill discrepancy."
BRKf993af03,B003242,"Trade not affirmed by counterparty; venue NYSE, orderId ad96e684, partial fill discrepancy."
BRKa5f19298,B003844,"Trade not affirmed by counterparty; venue LSE, orderId 345e0d45, partial fill discrepancy."
BRK341d2b67,B003184,Instrument mapping issue: ISIN/SEDOL mismatch for VZ; refer static data.
BRK016b8296,B003026,Duplicate booking suspected for ABNB; two fills with same timestamp.
BRK786102df,B004213,Duplicate booking suspected for MSFT; two fills with same timestamp.
BRKd7dd7ab0,B003172,FX mismatch between custodian and OMS for PG on 2025-05-01; expected 428 got 468.
BRK3ad72040,B003504,"Settlement fail on AMZN; reason: SSI rejected, requires updated BIC/SWIFT."
BRKc75a22e5,B003589,Price variance over tolerance for ADBE; OMS 164.27 vs custodian 164.68.
BRKd7b59a33,B003820,"Settlement fail on HD; reason: SSI rejected, requires updated BIC/SWIFT."
BRK3ad5e669,B003891,Duplicate booking suspected for HD; two fills with same timestamp.
BRKc0dc1834,B004220,FX mismatch between custodian and OMS for WMT on 2025-05-04; expected 219 got 128.
BRK6d3e98ee,B003011,"Settlement fail on DIS; reason: SSI rejected, requires updated BIC/SWIFT."
BRK0496b5fd,B003900,Instrument mapping issue: ISIN/SEDOL mismatch for SHEL; refer static data.
BRKd643a9f5,B003304,"Trade not affirmed by counterparty; venue NASDAQ, orderId 7817544b, partial fill discrepancy."
BRK7e624a18,B004432,FX mismatch between custodian and OMS for TXN on 2025-05-10; expected 42 got 63.
BRK9c433219,B003825,"Trade not affirmed by counterparty; venue LSE, orderId 6ee2ff54, partial fill discrepancy."
BRKfba74f15,B004283,"Trade not affirmed by counterparty; venue NYSE, orderId 1662f8cf, partial fill discrepancy."
BRK771dbcbe,B003915,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRK57845aeb,B003076,Price variance over tolerance for MSFT; OMS 203.66 vs custodian 206.3.
BRKeb75d1e3,B004130,Price variance over tolerance for META; OMS 149.24 vs custodian 145.96.
BRK8b8005b0,B003510,Duplicate booking suspected for IWM; two fills with same timestamp.
BRK07df972f,B003523,FX mismatch between custodian and OMS for IVV on 2025-04-06; expected 837 got 608.
BRK270e0d02,B004324,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRK25dcd719,B004241,"Settlement fail on ABNB; reason: SSI rejected, requires updated BIC/SWIFT."
BRK88c70bdf,B003948,"Trade not affirmed by counterparty; venue EUREX, orderId 330ef953, partial fill discrepancy."
BRK90dab4c0,B004234,"Trade not affirmed by counterparty; venue EUREX, orderId 9a6462f9, partial fill discrepancy."
BRKf51057cc,B003203,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRK0fc17589,B003993,Price variance over tolerance for T; OMS 245.42 vs custodian 243.54.
BRK4a4d347c,B003660,"Settlement fail on CRM; reason: SSI rejected, requires updated BIC/SWIFT."
BRK820d4fed,B004371,Price variance over tolerance for PYPL; OMS 387.38 vs custodian 384.83.
BRKb11ae192,B004250,"Trade not affirmed by counterparty; venue LSE, orderId 4808d81d, partial fill discrepancy."
BRK82cef830,B003338,Corporate action cash dividend missing for ASML; record date 2025-05-21.
BRKb643e79f,B003104,Corporate action cash dividend missing for ORCL; record date 2025-05-14.
BRK97f0f23e,B003112,FX mismatch between custodian and OMS for LLY on 2025-07-30; expected 655 got 827.
BRKa475d972,B003194,"Trade not affirmed by counterparty; venue BATS, orderId 120a6399, partial fill discrepancy."
BRK9306c806,B004170,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRK7de5ce06,B003171,Price variance over tolerance for AMD; OMS 480.63 vs custodian 479.59.
BRK52ef4def,B003062,Instrument mapping issue: ISIN/SEDOL mismatch for MRK; refer static data.
BRKe4fabaf2,B004095,"Trade not affirmed by counterparty; venue LSE, orderId 1c83d901, partial fill discrepancy."
BRKbcce65f6,B004068,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRK1e7babbb,B003023,FX mismatch between custodian and OMS for SHOP on 2025-07-26; expected 841 got 31.
BRK86185a32,B004106,Custody cash movement posted but trade absent; investigate unmatched cash entry.
BRK7d6a602b,B003368,Instrument mapping issue: ISIN/SEDOL mismatch for LLY; refer static data.
BRK68f6bd96,B004219,"Trade not affirmed by counterparty; venue BATS, orderId f4f7a365, partial fill discrepancy."
BRK753818bf,B004023,Price variance over tolerance for TLT; OMS 489.29 vs custodian 492.56.
BRKb019b136,B004373,Corporate action cash dividend missing for CRM; record date 2025-04-18.
